"Sample","SCORE"
"MIP.S32937.clean.bam","0"
"MIP.S33005.clean.bam","1"
"MIP.S33087.clean.bam","0"
"MIP.S33093.clean.bam","1"
"MIP.S33396.clean.bam","0"
"MIP.S34441.clean.bam","1"
"MIP.S34457.clean.bam","0"
"MIP.S34464.clean.bam","1"
"MIP.S34473.clean.bam","1"
"MIP.S34482.clean.bam","1"
"MIP.S34511.clean.bam","0"
